data_type,year,plot_id,fuel_class,value,value_si,lab_year,lab_year_abbr,lab_fuel,lab_type,subset,statistic
dl,2021,RxF04,litter,0.9375,2.38125,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF05,duff,0.1,0.254,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF05,litter,0.3,0.762,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF06,duff,0.1,0.254,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF06,litter,0.4375,1.11125,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF07,duff,0.1,0.254,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF07,litter,1.125,2.8575,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF08,duff,0.1,0.254,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF08,litter,1.1125,2.82575,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF09,duff,0.1,0.254,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF09,litter,0.4625,1.17475,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
wd,2016,RxF01,hr0001,0.48672017058357325,1.0912266224483713,1 Year pre-fire (2016),1-y pre-fire (2016),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF01,hr0010,3.281058740757829,7.356133696779053,1 Year pre-fire (2016),1-y pre-fire (2016),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF01,hr0100,2.2137050395735756,4.963126698723956,1 Year pre-fire (2016),1-y pre-fire (2016),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF01,hr1000r,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF01,hr1000s,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF02,hr0001,0.34658662479912633,0.7770472127996413,1 Year pre-fire (2016),1-y pre-fire (2016),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF02,hr0010,2.98473363457532,6.691772808717868,1 Year pre-fire (2016),1-y pre-fire (2016),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF02,hr0100,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF02,hr1000r,3.950802309083758,8.857698776965785,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF02,hr1000s,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF03,hr0001,0.26972795418760537,0.6047300732886112,1 Year pre-fire (2016),1-y pre-fire (2016),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF03,hr0010,1.3216018724750869,2.9630313980891447,1 Year pre-fire (2016),1-y pre-fire (2016),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF03,hr0100,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF03,hr1000r,2.736655888544807,6.135582502117456,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF03,hr1000s,0.8190660805172026,1.8363461525195683,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF04,hr0001,0.23696997565823008,0.5312866854257519,1 Year pre-fire (2016),1-y pre-fire (2016),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF04,hr0010,1.4740987631313753,3.3049294269405434,1 Year pre-fire (2016),1-y pre-fire (2016),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF04,hr0100,2.9211883073312572,6.549304185036679,1 Year pre-fire (2016),1-y pre-fire (2016),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF04,hr1000r,0,0,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF04,hr1000s,12.924100835554665,28.975834073313557,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF05,hr0001,0.23414051014598297,0.5249430237472938,1 Year pre-fire (2016),1-y pre-fire (2016),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF05,hr0010,2.8492191763236483,6.387949393317619,1 Year pre-fire (2016),1-y pre-fire (2016),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF05,hr0100,0.7774760800551036,1.7431013714835422,1 Year pre-fire (2016),1-y pre-fire (2016),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2016,RxF05,hr1000r,0.9071014409830269,2.033721430683946,1 Year pre-fire (2016),1-y pre-fire (2016),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
