fuel_type,fuel_class,plot_id,n_transect,plot_tran,time,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time
wd,hr1000r,RxF02,1,RxF02_1,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),4,1
wd,hr1000s,RxF02,1,RxF02_1,2016,17.71539755393157,Metric tons per hectare,7.901604618167516,Tons per acre,Coarse woody debris,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),5,1
wd,hr0001,RxF02,2,RxF02_2,2016,0.7628060469897793,Metric tons per hectare,0.34023463291247963,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1
wd,hr0010,RxF02,2,RxF02_2,2016,6.569130780587399,Metric tons per hectare,2.9300315702887594,Tons per acre,Coarse woody debris,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),2,1
wd,hr0100,RxF02,2,RxF02_2,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),3,1
wd,hr1000r,RxF02,2,RxF02_2,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),4,1
wd,hr1000s,RxF02,2,RxF02_2,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),5,1
wd,hr0001,RxF02,1,RxF02_1,2017,0.5782491997530983,Metric tons per hectare,0.2579166814242187,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2
wd,hr0010,RxF02,1,RxF02_1,2017,2.0443244510545013,Metric tons per hectare,0.9118307096585644,Tons per acre,Coarse woody debris,10-hr,0 Years post-fire (2017),0-y post-fire (2017),2,2
wd,hr0100,RxF02,1,RxF02_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,0 Years post-fire (2017),0-y post-fire (2017),3,2
wd,hr1000r,RxF02,1,RxF02_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,0 Years post-fire (2017),0-y post-fire (2017),4,2
wd,hr1000s,RxF02,1,RxF02_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),5,2
wd,hr0001,RxF02,2,RxF02_2,2017,0.08801608234497452,Metric tons per hectare,0.03925784225913226,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2
wd,hr0010,RxF02,2,RxF02_2,2017,0.6569130780587399,Metric tons per hectare,0.29300315702887597,Tons per acre,Coarse woody debris,10-hr,0 Years post-fire (2017),0-y post-fire (2017),2,2
wd,hr0100,RxF02,2,RxF02_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,0 Years post-fire (2017),0-y post-fire (2017),3,2
wd,hr1000r,RxF02,2,RxF02_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,0 Years post-fire (2017),0-y post-fire (2017),4,2
wd,hr1000s,RxF02,2,RxF02_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),5,2
wd,hr0001,RxF02,1,RxF02_1,2019,0.5478150313450405,Metric tons per hectare,0.24434211924399665,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3
wd,hr0010,RxF02,1,RxF02_1,2019,3.4072074184241683,Metric tons per hectare,1.5197178494309405,Tons per acre,Coarse woody debris,10-hr,2 Years post-fire (2019),2-y post-fire (2019),2,3
wd,hr0100,RxF02,1,RxF02_1,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,2 Years post-fire (2019),2-y post-fire (2019),3,3
wd,hr1000r,RxF02,1,RxF02_1,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,2 Years post-fire (2019),2-y post-fire (2019),4,3
wd,hr1000s,RxF02,1,RxF02_1,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,2 Years post-fire (2019),2-y post-fire (2019),5,3
wd,hr0001,RxF02,2,RxF02_2,2019,0.11735477645996603,Metric tons per hectare,0.05234378967884301,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3
wd,hr0010,RxF02,2,RxF02_2,2019,1.3138261561174798,Metric tons per hectare,0.5860063140577519,Tons per acre,Coarse woody debris,10-hr,2 Years post-fire (2019),2-y post-fire (2019),2,3
wd,hr0100,RxF02,2,RxF02_2,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,2 Years post-fire (2019),2-y post-fire (2019),3,3
wd,hr1000r,RxF02,2,RxF02_2,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,2 Years post-fire (2019),2-y post-fire (2019),4,3
wd,hr1000s,RxF02,2,RxF02_2,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,2 Years post-fire (2019),2-y post-fire (2019),5,3
wd,hr0001,RxF02,1,RxF02_1,2021,0.08801608234497452,Metric tons per hectare,0.03925784225913226,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4
wd,hr0010,RxF02,1,RxF02_1,2021,1.3138261561174798,Metric tons per hectare,0.5860063140577519,Tons per acre,Coarse woody debris,10-hr,4 Years post-fire (2021),4-y post-fire (2021),2,4
wd,hr0100,RxF02,1,RxF02_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,4 Years post-fire (2021),4-y post-fire (2021),3,4
wd,hr1000r,RxF02,1,RxF02_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),4,4
wd,hr1000s,RxF02,1,RxF02_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),5,4
wd,hr0001,RxF02,2,RxF02_2,2021,0.23470955291993206,Metric tons per hectare,0.10468757935768602,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4
wd,hr0010,RxF02,2,RxF02_2,2021,1.3138261561174798,Metric tons per hectare,0.5860063140577519,Tons per acre,Coarse woody debris,10-hr,4 Years post-fire (2021),4-y post-fire (2021),2,4
wd,hr0100,RxF02,2,RxF02_2,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,4 Years post-fire (2021),4-y post-fire (2021),3,4
wd,hr1000r,RxF02,2,RxF02_2,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),4,4
wd,hr1000s,RxF02,2,RxF02_2,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),5,4
wd,hr0001,RxF03,1,RxF03_1,2016,0.5352501324374358,Metric tons per hectare,0.2387377932370365,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1
wd,hr0010,RxF03,1,RxF03_1,2016,1.3316233528500534,Metric tons per hectare,0.593944403590568,Tons per acre,Coarse woody debris,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),2,1
wd,hr0100,RxF03,1,RxF03_1,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),3,1
wd,hr1000r,RxF03,1,RxF03_1,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),4,1
wd,hr1000s,RxF03,1,RxF03_1,2016,4.327267574076189,Metric tons per hectare,1.9300925843337151,Tons per acre,Coarse woody debris,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),5,1
wd,hr0001,RxF03,2,RxF03_2,2016,0.6742100141397867,Metric tons per hectare,0.30071811513817426,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1
wd,hr0010,RxF03,2,RxF03_2,2016,4.594439443328236,Metric tons per hectare,2.0492593413596056,Tons per acre,Coarse woody debris,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),2,1
wd,hr0100,RxF03,2,RxF03_2,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),3,1
wd,hr1000r,RxF03,2,RxF03_2,2016,3.6726923050391367,Metric tons per hectare,1.6381321610344053,Tons per acre,Coarse woody debris,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),4,1
wd,hr1000s,RxF03,2,RxF03_2,2016,7.943897430158724,Metric tons per hectare,3.5432191927558985,Tons per acre,Coarse woody debris,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),5,1
wd,hr0001,RxF03,1,RxF03_1,2017,0.11894447387498575,Metric tons per hectare,0.05305284294156367,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2
wd,hr0010,RxF03,1,RxF03_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,10-hr,0 Years post-fire (2017),0-y post-fire (2017),2,2
wd,hr0100,RxF03,1,RxF03_1,2017,3.298967955157002,Metric tons per hectare,1.4714397659041045,Tons per acre,Coarse woody debris,100-hr,0 Years post-fire (2017),0-y post-fire (2017),3,2
wd,hr1000r,RxF03,1,RxF03_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,0 Years post-fire (2017),0-y post-fire (2017),4,2
wd,hr1000s,RxF03,1,RxF03_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),5,2
wd,hr0001,RxF03,2,RxF03_2,2017,0.1465673943782145,Metric tons per hectare,0.06537350329090745,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2
wd,hr0010,RxF03,2,RxF03_2,2017,1.9690454757121012,Metric tons per hectare,0.8782540034398311,Tons per acre,Coarse woody debris,10-hr,0 Years post-fire (2017),0-y post-fire (2017),2,2
wd,hr0100,RxF03,2,RxF03_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,0 Years post-fire (2017),0-y post-fire (2017),3,2
wd,hr1000r,RxF03,2,RxF03_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,0 Years post-fire (2017),0-y post-fire (2017),4,2
wd,hr1000s,RxF03,2,RxF03_2,2017,24.279162238870864,Metric tons per hectare,10.829242747043205,Tons per acre,Coarse woody debris,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),5,2
wd,hr0001,RxF03,1,RxF03_1,2019,0.2676250662187179,Metric tons per hectare,0.11936889661851825,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3
wd,hr0010,RxF03,1,RxF03_1,2019,1.3316233528500534,Metric tons per hectare,0.593944403590568,Tons per acre,Coarse woody debris,10-hr,2 Years post-fire (2019),2-y post-fire (2019),2,3
wd,hr0100,RxF03,1,RxF03_1,2019,3.298967955157002,Metric tons per hectare,1.4714397659041045,Tons per acre,Coarse woody debris,100-hr,2 Years post-fire (2019),2-y post-fire (2019),3,3
wd,hr1000r,RxF03,1,RxF03_1,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,2 Years post-fire (2019),2-y post-fire (2019),4,3
wd,hr1000s,RxF03,1,RxF03_1,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,2 Years post-fire (2019),2-y post-fire (2019),5,3
wd,hr0001,RxF03,2,RxF03_2,2019,0.35176174650771475,Metric tons per hectare,0.15689640789817785,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3
wd,hr0010,RxF03,2,RxF03_2,2019,3.9380909514242024,Metric tons per hectare,1.7565080068796621,Tons per acre,Coarse woody debris,10-hr,2 Years post-fire (2019),2-y post-fire (2019),2,3
wd,hr0100,RxF03,2,RxF03_2,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,2 Years post-fire (2019),2-y post-fire (2019),3,3
wd,hr1000r,RxF03,2,RxF03_2,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,2 Years post-fire (2019),2-y post-fire (2019),4,3
wd,hr1000s,RxF03,2,RxF03_2,2019,20.91530254899324,Metric tons per hectare,9.328859299283335,Tons per acre,Coarse woody debris,1000-hr sound,2 Years post-fire (2019),2-y post-fire (2019),5,3
wd,hr0001,RxF03,1,RxF03_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4
wd,hr0010,RxF03,1,RxF03_1,2021,0.6658116764250267,Metric tons per hectare,0.296972201795284,Tons per acre,Coarse woody debris,10-hr,4 Years post-fire (2021),4-y post-fire (2021),2,4
wd,hr0100,RxF03,1,RxF03_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,4 Years post-fire (2021),4-y post-fire (2021),3,4
wd,hr1000r,RxF03,1,RxF03_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),4,4
wd,hr1000s,RxF03,1,RxF03_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),5,4
wd,hr0001,RxF03,2,RxF03_2,2021,0.029736118468746436,Metric tons per hectare,0.013263210735390918,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4
wd,hr0010,RxF03,2,RxF03_2,2021,2.663246705700107,Metric tons per hectare,1.187888807181136,Tons per acre,Coarse woody debris,10-hr,4 Years post-fire (2021),4-y post-fire (2021),2,4
wd,hr0100,RxF03,2,RxF03_2,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,4 Years post-fire (2021),4-y post-fire (2021),3,4
wd,hr1000r,RxF03,2,RxF03_2,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),4,4
wd,hr1000s,RxF03,2,RxF03_2,2021,73.63419802581075,Metric tons per hectare,32.84308564933575,Tons per acre,Coarse woody debris,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),5,4
wd,hr0001,RxF04,1,RxF04_1,2016,0.560475072864171,Metric tons per hectare,0.24998888174137868,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1
