fuel_type,fuel_class,plot_id,n_transect,quadrat,plot_tran,time,si_value,si_units,us_value,us_units,lab_time,lab_fuel,lab_class,lab_time_abbr,order_class,order_time
wd,hr0010,FOR07,1,NA,FOR07_1,t2,16.676522249166908,Metric tons per hectare,7.438234723089612,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR07,2,NA,FOR07_2,t1,2.169650907402962,Metric tons per hectare,0.9677301103492247,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR07,2,NA,FOR07_2,t2,3.3068172821112647,Metric tons per hectare,1.4749408037962821,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR07,3,NA,FOR07_3,t1,2.950191424915869,Metric tons per hectare,1.3158748550026178,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR07,3,NA,FOR07_3,t2,5.395749494719807,Metric tons per hectare,2.406667928064142,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR08,1,NA,FOR08_1,t1,0.7252055887316657,Metric tons per hectare,0.32346368810511406,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR08,1,NA,FOR08_1,t2,0.6631819982797309,Metric tons per hectare,0.2957992855841797,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR08,2,NA,FOR08_2,t1,2.1525144881833906,Metric tons per hectare,0.9600867476286309,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR08,2,NA,FOR08_2,t2,2.6245594017849885,Metric tons per hectare,1.1706330962466496,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR08,3,NA,FOR08_3,t1,1.4627703518523274,Metric tons per hectare,0.6524399428422513,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR08,3,NA,FOR08_3,t2,2.6753322920811446,Metric tons per hectare,1.1932793452636685,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR10,1,NA,FOR10_1,t1,6.041790509817812,Metric tons per hectare,2.694821815262182,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR10,1,NA,FOR10_1,t2,3.453164493754211,Metric tons per hectare,1.5402160989091038,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR10,2,NA,FOR10_2,t1,2.1525144881833906,Metric tons per hectare,0.9600867476286309,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR10,2,NA,FOR10_2,t2,5.905258654016224,Metric tons per hectare,2.6339244665549617,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR10,3,NA,FOR10_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR10,3,NA,FOR10_3,t2,0.6793298425697699,Metric tons per hectare,0.3030017139026628,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0100,FOR05,1,NA,FOR05_1,t1,3.3260398771414135,Metric tons per hectare,1.483514664202236,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR05,1,NA,FOR05_1,t2,20.41287141050406,Metric tons per hectare,9.104759772749357,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR05,2,NA,FOR05_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR05,2,NA,FOR05_2,t2,3.2536433903635142,Metric tons per hectare,1.4512236353093284,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR05,3,NA,FOR05_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR05,3,NA,FOR05_3,t2,19.88363034205421,Metric tons per hectare,8.868702204306071,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR06,1,NA,FOR06_1,t1,3.1870411942977337,Metric tons per hectare,1.4215170358152247,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR06,1,NA,FOR06_1,t2,13.039864119146259,Metric tons per hectare,5.81617489703223,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR06,2,NA,FOR06_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR06,2,NA,FOR06_2,t2,16.299830148932823,Metric tons per hectare,7.2702186212902875,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR06,3,NA,FOR06_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR06,3,NA,FOR06_3,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR07,1,NA,FOR07_1,t1,6.731712092970098,Metric tons per hectare,3.0025477667128,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR07,1,NA,FOR07_1,t2,10.328617395023143,Metric tons per hectare,4.606876625790876,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR07,2,NA,FOR07_2,t1,3.203623617149738,Metric tons per hectare,1.428913299353139,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR07,2,NA,FOR07_2,t2,6.55385577244249,Metric tons per hectare,2.9232184533641794,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR07,3,NA,FOR07_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR07,3,NA,FOR07_3,t2,10.025585297282424,Metric tons per hectare,4.471715119216068,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR08,1,NA,FOR08_1,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR08,1,NA,FOR08_1,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR08,2,NA,FOR08_2,t1,6.356641270789051,Metric tons per hectare,2.8352548040985956,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR08,2,NA,FOR08_2,t2,0,Metric tons per hectare,0,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR08,3,NA,FOR08_3,t1,323.98062031576876,Metric tons per hectare,144.50518301327776,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR08,3,NA,FOR08_3,t2,13.255753561369474,Metric tons per hectare,5.912468136204048,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
wd,hr0100,FOR10,1,NA,FOR10_1,t1,13.381615471697154,Metric tons per hectare,5.9686063656097925,Tons per acre,Pre-thinning,Coarse woody debris,100-hr,Pre-thin,3,1
wd,hr0100,FOR10,1,NA,FOR10_1,t2,3.4219523063782935,Metric tons per hectare,1.5262945166718527,Tons per acre,Post-thinning,Coarse woody debris,100-hr,Post-thin,3,2
