fuel_type,fuel_class,plot_id,time,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time,subset_by,metric
wd,hr0001,RxF02,2016,0.7770472127996413,Metric tons per hectare,0.34658662479912633,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
wd,hr0001,RxF02,2017,0.3331326410490364,Metric tons per hectare,0.14858726184167548,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
wd,hr0001,RxF02,2019,0.3325849039025033,Metric tons per hectare,0.14834295446141982,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
wd,hr0001,RxF02,2021,0.1613628176324533,Metric tons per hectare,0.07197271080840914,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
wd,hr0001,RxF03,2016,0.6047300732886112,Metric tons per hectare,0.26972795418760537,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
wd,hr0001,RxF03,2017,0.13275593412660014,Metric tons per hectare,0.05921317311623556,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
wd,hr0001,RxF03,2019,0.3096934063632163,Metric tons per hectare,0.13813265225834806,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
wd,hr0001,RxF03,2021,0.014868059234373218,Metric tons per hectare,0.006631605367695459,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
wd,hr0001,RxF04,2016,0.5312866854257519,Metric tons per hectare,0.23696997565823008,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
wd,hr0001,RxF04,2017,0.1623888080652435,Metric tons per hectare,0.07243033365978747,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
wd,hr0001,RxF04,2019,0.4722893093347865,Metric tons per hectare,0.21065535652755868,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
wd,hr0001,RxF04,2021,0.32483237506114526,Metric tons per hectare,0.14488509146349032,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
wd,hr0001,RxF05,2016,0.5249430237472938,Metric tons per hectare,0.23414051014598297,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
wd,hr0001,RxF05,2017,0.09427142595509486,Metric tons per hectare,0.042047915234208234,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
wd,hr0001,RxF05,2019,0.33590400406831383,Metric tons per hectare,0.14982337380388663,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
wd,hr0001,RxF05,2021,0.33193466191799265,Metric tons per hectare,0.1480529268144481,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
wd,hr0001,RxF06,2016,0.4881180329211075,Metric tons per hectare,0.21771544733323261,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
wd,hr0001,RxF06,2017,0.07390057547136789,Metric tons per hectare,0.032961898069298785,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
wd,hr0001,RxF06,2019,0.2956982595290817,Metric tons per hectare,0.1318903922966466,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
