fuel_type,fuel_class,plot_id,time,value_norm,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time,subset_by,metric
wd,hr1000r,FOR06,t2,-0.125661346855074,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,Post-thinning,Post-thin,4,2,type_class_time_plot,mean
wd,hr1000r,FOR07,t1,-0.125661346855074,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,Pre-thinning,Pre-thin,4,1,type_class_time_plot,mean
wd,hr1000r,FOR07,t2,-0.125661346855074,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,Post-thinning,Post-thin,4,2,type_class_time_plot,mean
wd,hr1000r,FOR08,t1,1.6448536269514715,34.81149460650569,Metric tons per hectare,15.52698242930673,Tons per acre,Coarse woody debris,1000-hr rotten,Pre-thinning,Pre-thin,4,1,type_class_time_plot,mean
wd,hr1000r,FOR08,t2,-0.125661346855074,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,Post-thinning,Post-thin,4,2,type_class_time_plot,mean
wd,hr1000r,FOR10,t1,-0.125661346855074,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,Pre-thinning,Pre-thin,4,1,type_class_time_plot,mean
wd,hr1000r,FOR10,t2,-0.125661346855074,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,Post-thinning,Post-thin,4,2,type_class_time_plot,mean
wd,hr1000s,FOR05,t1,-0.3853204664075676,28.98948269088122,Metric tons per hectare,12.930188532953268,Tons per acre,Coarse woody debris,1000-hr sound,Pre-thinning,Pre-thin,5,1,type_class_time_plot,mean
wd,hr1000s,FOR05,t2,1.0364333894937894,327.2978931668481,Metric tons per hectare,145.98478731795186,Tons per acre,Coarse woody debris,1000-hr sound,Post-thinning,Post-thin,5,2,type_class_time_plot,mean
wd,hr1000s,FOR06,t1,-1.0364333894937894,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,Pre-thinning,Pre-thin,5,1,type_class_time_plot,mean
wd,hr1000s,FOR06,t2,0.6744897501960817,76.9117767194766,Metric tons per hectare,34.30498515587717,Tons per acre,Coarse woody debris,1000-hr sound,Post-thinning,Post-thin,5,2,type_class_time_plot,mean
wd,hr1000s,FOR07,t1,0.12566134685507413,45.29252190639027,Metric tons per hectare,20.20183849526774,Tons per acre,Coarse woody debris,1000-hr sound,Pre-thinning,Pre-thin,5,1,type_class_time_plot,mean
wd,hr1000s,FOR07,t2,1.6448536269514715,373.3286284677885,Metric tons per hectare,166.51589137724733,Tons per acre,Coarse woody debris,1000-hr sound,Post-thinning,Post-thin,5,2,type_class_time_plot,mean
wd,hr1000s,FOR08,t1,-1.0364333894937894,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,Pre-thinning,Pre-thin,5,1,type_class_time_plot,mean
wd,hr1000s,FOR08,t2,0.3853204664075676,61.38426882280504,Metric tons per hectare,27.37924568367754,Tons per acre,Coarse woody debris,1000-hr sound,Post-thinning,Post-thin,5,2,type_class_time_plot,mean
wd,hr1000s,FOR10,t1,-1.0364333894937894,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,Pre-thinning,Pre-thin,5,1,type_class_time_plot,mean
wd,hr1000s,FOR10,t2,-0.125661346855074,41.52705941485042,Metric tons per hectare,18.522328017328466,Tons per acre,Coarse woody debris,1000-hr sound,Post-thinning,Post-thin,5,2,type_class_time_plot,mean
dl,all,FOR05,t1,0.06270677794321383,5.999999999976,Depth in centimeters,2.3622047243999997,Depth in inches,Duff & litter,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
dl,all,FOR05,t2,-0.1891184262727925,5.333333333312,Depth in centimeters,2.0997375328,Depth in inches,Duff & litter,All,Post-thinning,Post-thin,1,2,type_time_plot,total
dl,all,FOR06,t1,-0.5977601260424784,4.16666666665,Depth in centimeters,1.6404199475,Depth in inches,Duff & litter,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
dl,all,FOR06,t2,-1.4395314709384557,2.833333333322,Depth in centimeters,1.1154855643,Depth in inches,Duff & litter,All,Post-thinning,Post-thin,1,2,type_time_plot,total
dl,all,FOR07,t1,-0.06270677794321383,5.83333333331,Depth in centimeters,2.2965879264999995,Depth in inches,Duff & litter,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
dl,all,FOR07,t2,-0.9345892910734802,3.5833333333189996,Depth in centimeters,1.41076115485,Depth in inches,Duff & litter,All,Post-thinning,Post-thin,1,2,type_time_plot,total
dl,all,FOR08,t1,-0.4537621901698793,4.499999999982,Depth in centimeters,1.7716535433,Depth in inches,Duff & litter,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
dl,all,FOR08,t2,-0.31863936396437514,5.166666666646,Depth in centimeters,2.0341207349,Depth in inches,Duff & litter,All,Post-thinning,Post-thin,1,2,type_time_plot,total
dl,all,FOR10,t1,-0.7554150263604693,3.999999999984,Depth in centimeters,1.5748031496,Depth in inches,Duff & litter,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
dl,all,FOR10,t2,-1.9599639845400538,1.66666666666,Depth in centimeters,0.6561679789999999,Depth in inches,Duff & litter,All,Post-thinning,Post-thin,1,2,type_time_plot,total
wd,all,FOR05,t1,0.31863936396437514,36.47864038644589,Metric tons per hectare,16.27058001179567,Tons per acre,Coarse woody debris,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
wd,all,FOR05,t2,1.439531470938456,349.46584881176176,Metric tons per hectare,155.8723678910623,Tons per acre,Coarse woody debris,All,Post-thinning,Post-thin,1,2,type_time_plot,total
wd,all,FOR06,t1,-1.1503493803760079,3.118522876249917,Metric tons per hectare,1.3909557878010337,Tons per acre,Coarse woody debris,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
wd,all,FOR06,t2,0.9345892910734798,96.25565406890505,Metric tons per hectare,42.932941154730166,Tons per acre,Coarse woody debris,All,Post-thinning,Post-thin,1,2,type_time_plot,total
wd,all,FOR07,t1,0.5977601260424784,57.45908550135202,Metric tons per hectare,25.62849487125425,Tons per acre,Coarse woody debris,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
wd,all,FOR07,t2,1.9599639845400536,392.6932409423477,Metric tons per hectare,175.15309587080628,Tons per acre,Coarse woody debris,All,Post-thinning,Post-thin,1,2,type_time_plot,total
wd,all,FOR08,t1,1.1503493803760079,146.6281574755262,Metric tons per hectare,65.400605475257,Tons per acre,Coarse woody debris,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
wd,all,FOR08,t2,0.7554150263604693,68.70790906469419,Metric tons per hectare,30.645811358025952,Tons per acre,Coarse woody debris,All,Post-thinning,Post-thin,1,2,type_time_plot,total
wd,all,FOR10,t1,0.18911842627279238,7.384242049509466,Metric tons per hectare,3.293595918603687,Tons per acre,Coarse woody debris,All,Pre-thinning,Pre-thin,1,1,type_time_plot,total
wd,all,FOR10,t2,0.4537621901698796,52.14541807482984,Metric tons per hectare,23.258438035160506,Tons per acre,Coarse woody debris,All,Post-thinning,Post-thin,1,2,type_time_plot,total
