year,plot_id,survey,timing,date,plot_tran,transect_id,transect_rep,data_type,fuel_class,value,value_si,units,units_si,lab_fuel,lab_timing
2021,FOR10,trmt,post,2021-12-09,FOR10_H2,H2,1,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,Post-thinning
2021,FOR10,cont,pre,2021-06-09,FOR10_H3,H3,1,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,Pre-thinning
2021,FOR10,trmt,post,2021-12-09,FOR10_H3,H3,1,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,Post-thinning
2021,FOR05,cont,pre,2021-07-07,FOR05_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR05,trmt,post,2021-10-19,FOR05_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR05,cont,pre,2021-07-07,FOR05_H2,H2,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR05,trmt,post,2021-10-19,FOR05_H2,H2,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR05,cont,pre,2021-07-07,FOR05_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR05,trmt,post,2021-10-19,FOR05_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR06,cont,pre,2021-06-16,FOR06_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR06,trmt,post,2021-10-19,FOR06_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR06,cont,pre,2021-06-16,FOR06_H2,H2,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR06,trmt,post,2021-10-19,FOR06_H2,H2,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR06,cont,pre,2021-06-16,FOR06_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR06,trmt,post,2021-10-19,FOR06_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR07,cont,pre,2021-06-10,FOR07_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR07,trmt,post,2021-10-18,FOR07_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR07,cont,pre,2021-06-10,FOR07_H2,H2,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR07,trmt,post,2021-10-18,FOR07_H2,H2,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR07,cont,pre,2021-06-10,FOR07_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR07,trmt,post,2021-10-18,FOR07_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR08,cont,pre,2021-06-15,FOR08_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR08,trmt,post,2021-10-19,FOR08_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR08,cont,pre,2021-06-15,FOR08_H2,H2,1,wd,hr1000r,46.58094728792019,104.43448381951707,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR08,trmt,post,2021-10-19,FOR08_H2,H2,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR08,cont,pre,2021-06-15,FOR08_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR08,trmt,post,2021-10-19,FOR08_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR10,cont,pre,2021-06-09,FOR10_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR10,trmt,post,2021-12-09,FOR10_H1,H1,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR10,cont,pre,2021-06-09,FOR10_H2,H2,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR10,trmt,post,2021-12-09,FOR10_H2,H2,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR10,cont,pre,2021-06-09,FOR10_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Pre-thinning
2021,FOR10,trmt,post,2021-12-09,FOR10_H3,H3,1,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,Post-thinning
2021,FOR05,cont,pre,2021-07-07,FOR05_H1,H1,1,dl,litter,1.968503937,4.99999999998,depth_in_inches,depth_in_cm,Litter,Pre-thinning
2021,FOR05,trmt,post,2021-10-19,FOR05_H1,H1,1,dl,litter,2.7559055118,6.999999999972,depth_in_inches,depth_in_cm,Litter,Post-thinning
2021,FOR05,cont,pre,2021-07-07,FOR05_H2,H2,1,dl,litter,1.5748031496,3.999999999984,depth_in_inches,depth_in_cm,Litter,Pre-thinning
