year,plot_id,timing,date,plot_tran,transect_n,transect_rep,data_type,fuel_class,value,value_si,units,units_si,lab_fuel,lab_year,lab_year_abbr,lab_type
2016,RxF02,0Pre-burn,2016-08-17,RxF02_1,1,a,wd,hr1000r,7.901604618167516,17.71539755393157,tons_per_acre,tons_per_hectare,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF02,0Pre-burn,2016-08-17,RxF02_2,2,a,wd,hr0001,0.34023463291247963,0.7628060469897793,tons_per_acre,tons_per_hectare,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF02,0Pre-burn,2016-08-17,RxF02_2,2,a,wd,hr0010,2.9300315702887594,6.569130780587399,tons_per_acre,tons_per_hectare,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF02,0Pre-burn,2016-08-17,RxF02_2,2,a,wd,hr0100,0,0,tons_per_acre,tons_per_hectare,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF02,0Pre-burn,2016-08-17,RxF02_2,2,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF02,0Pre-burn,2016-08-17,RxF02_2,2,a,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2017,RxF02,1Post-burn,2017-11-21,RxF02_1,1,a,wd,hr0001,0.2579166814242187,0.5782491997530983,tons_per_acre,tons_per_hectare,1-hr,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris
2017,RxF02,1Post-burn,2017-11-21,RxF02_1,1,a,wd,hr0010,0.9118307096585644,2.0443244510545013,tons_per_acre,tons_per_hectare,10-hr,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris
2017,RxF02,1Post-burn,2017-11-21,RxF02_1,1,a,wd,hr0100,0,0,tons_per_acre,tons_per_hectare,100-hr,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris
2017,RxF02,1Post-burn,2017-11-21,RxF02_1,1,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris
